Site_ID,Data_set_ID,UWI,NAD83_Lat,NAD83_Long,Date_samp,Grnd_elev,KB_elev,Top_rel_sea,Bot_rel_sea,Top_rel_dep,Bot_rel_dep,Culled,Cat_an_bal,Lithium,Form_name
103210,AGSWDB,00/16-06-067-10W5-0,54.775997,-115.504692,n/a,1166.5,1170.4,-1418.6,-1449.4,2589,2619.8,Yes,n/a,0.98,Swan Hills Member
103403,AGSWDB,00/12-23-067-11W5-0,54.81593,-115.574909,n/a,1159.8,1162.8,-1514.9,-1530.1,2677.7,2692.9,Yes,-0.012487,27,Beaverhill Lake Formation
103416,AGSWDB,00/10-32-067-11W5-0,54.845891,-115.636088,n/a,1114,1118,-1510.9,-1582.5,2628.9,2700.5,Yes,0.016701,83,Beaverhill Lake Formation
103436,AGSWDB,00/07-07-067-14W5-0,54.782724,-116.118472,n/a,1104,1108.6,-621.4,-645.5,1730,1754.1,Yes,-0.014735,30,Mississippian system
103502,AGSWDB,00/10-26-067-18W5-0,54.83115,-116.627151,n/a,805.3,808.9,-832.8,-840.1,1641.7,1649,Yes,0.04769,8.4,n/a
103511,AGSWDB,00/03-17-067-19W5-0,54.794885,-116.866158,n/a,733.7,739.4,-943.1,-950.1,1682.5,1689.5,Yes,0.010521,15,n/a
103513,AGSWDB,00/14-24-067-19W5-0,54.819059,-116.763958,n/a,763.2,767.5,-1497.2,-1536.2,2264.7,2303.7,Yes,0.02319,84,Winterburn Group
103527,AGSWDB,00/06-06-067-21W5-0,54.76777,-117.197685,n/a,656.5,660.8,-1003.4,-1016.5,1664.2,1677.3,Yes,0.010776,33,n/a
103536,AGSWDB,00/11-02-067-22W5-0,54.772774,-117.248516,n/a,699.8,704.1,-1025.6,-1034.8,1729.7,1738.9,No,-0.010514,42,Nordegg Member
103550,AGSWDB,00/07-27-067-22W5-0,54.826875,-117.266683,n/a,672.4,676.4,-1977.8,-1979,2654.2,2655.4,No,0.012438,84,Winterburn Group
103580,AGSWDB,00/11-36-067-24W5-0,54.845854,-117.523923,n/a,769.3,772.7,-347.1,-368.8,1119.8,1141.5,Yes,0.039283,0.3,Dunvegan Formation
103906,AGSWDB,00/11-03-068-18W4-0,54.859292,-112.668398,n/a,556.9,561.1,164.3,159.4,396.9,401.7,Yes,0.002076,3,Mannville Group
103982,AGSWDB,00/06-18-068-22W4-0,54.883017,-113.354405,n/a,614.2,618.1,40.2,32.9,577.9,585.2,Yes,-0.026566,8.2,Mannville Group
104,ARC,00/05-17-001-08W4-0,49.95963,-113.820428,26-Jun-77,1140.2,n/a,1087.5,1081.4,52.7,58.8,No,-0.002374,<0.1,Paskapoo Formation
104029,AGSWDB,00/06-22-068-24W4-0,54.899086,-113.578234,n/a,654.4,656.8,-32,-54,688.8,710.8,Yes,-0.027611,10,Mannville Group
104054,AGSWDB,00/07-21-068-26W4-0,54.89763,-113.902856,n/a,665.4,669.6,-125.9,-153.4,795.5,823,Yes,-0.003275,8.8,Wabamun Group
104059,AGSWDB,00/06-28-068-26W4-0,54.914492,-113.913922,n/a,659.6,663.9,-131.6,-137.1,795.5,801,Yes,-0.027369,5.7,Wabamun Group
104126,AGSWDB,00/07-01-068-04W5-0,54.855197,-114.467148,n/a,641,644,59.4,48.4,584.6,595.6,No,-0.000159,5.8,Viking Formation
104155,AGSWDB,00/10-22-068-08W5-0,54.904043,-115.127564,n/a,1029.9,1033.6,-384,-414.2,1417.6,1447.8,Yes,0.024827,3.7,n/a
104444,AGSWDB,00/07-26-068-21W5-0,54.913203,-117.085312,n/a,715.7,719.9,-852.9,-865.1,1572.8,1585,Yes,0.025823,33,Triassic system
104497,AGSWDB,00/13-27-068-22W5-0,54.921378,-117.277563,n/a,672.1,676,-1929.4,-1935.5,2605.4,2611.5,No,-0.004446,140,Winterburn Group
104550,AGSWDB,00/06-08-068-01W6-0,54.869236,-118.119791,n/a,729.7,734,-1203,-1207.6,1937,1941.6,Yes,0.037699,5.3,Mannville Group
104698,AGSWDB,00/11-10-069-10W4-0,54.961559,-111.446616,n/a,727.6,730.6,361.8,334.4,368.8,396.2,Yes,0.022195,1.1,Viking Formation
104698,AGSWDB,00/11-10-069-10W4-0,54.961559,-111.446616,n/a,727.6,730.6,159.1,154.5,571.5,576.1,Yes,0.051967,5.6,Mannville Group
