UWI	Licence_no	SH_lat_NAD83	SH_long_NAD83	BH_lat_NAD83	BH_long_NAD83	KB_El_masl28	Total_depth_m	Smpl_date	Smpl_obs_no	Top_MD_m	Base_MD_m	Smpl_point	Date_analyz	H2S_conc	Publisher
100113506305W600	476262	54.515147	-118.678373	54.496546	-118.645999	978.3	6119	6/18/2016	1	3351	6067.8	Meter Run	2016-06-18	0	Alberta Geological Survey
100113506305W600	476262	54.515147	-118.678373	54.496546	-118.645999	978.3	6119	6/20/2016	1	3351	6067.8	Meter Run	2016-06-20	0	Alberta Geological Survey
100113506305W600	476262	54.515147	-118.678373	54.496546	-118.645999	978.3	6119	6/22/2016	1	3351	6067.8	Meter Run	2016-06-30	0	Alberta Geological Survey
100113506305W600	476262	54.515147	-118.678373	54.496546	-118.645999	978.3	6119	7/26/2016	1	3351	6067.8	Meter Run	2016-07-29	0	Alberta Geological Survey
100091607511W600	474011	55.487600	-119.612360	55.499716	-119.635497	872.4	4249	8/1/2018	1	3024.7	4223.6	First Stage Separator	2018-08-08	0.0169	Alberta Geological Survey
102120406524W500	474072	54.595252	-117.544374	54.598104	-117.578801	864.3	4540	3/11/2015	1	2503.3	4540	Other	2016-01-08	0	Alberta Geological Survey
102090706524W500	474085	54.610408	-117.571826	54.612356	-117.608994	906.9	4575	3/10/2015	1	2433.4	4575	Other	2015-03-10	0	Alberta Geological Survey
102090706524W500	474085	54.610408	-117.571826	54.612356	-117.608994	906.9	4575	10/19/2018	1	2433.4	4575	Meter Run	2018-10-25	0	Alberta Geological Survey
102052607109W600	474185	55.152399	-119.250665	55.175218	-119.280274	737.2	5400	9/13/2016	1	2797	5361.1	First Stage Separator	2016-09-21	0.0414	Alberta Geological Survey
100113506305W600	476262	54.515147	-118.678373	54.496546	-118.645999	978.3	6119	8/15/2016	1	3351	6067.8	Meter Run	2016-08-22	0	Alberta Geological Survey
100113506305W600	476262	54.515147	-118.678373	54.496546	-118.645999	978.3	6119	9/6/2016	1	3351	6067.8	Meter Run	2016-09-09	0.0001	Alberta Geological Survey
100113506305W600	476262	54.515147	-118.678373	54.496546	-118.645999	978.3	6119	10/24/2016	1	3351	6067.8	Meter Run	2016-10-27	0.0001	Alberta Geological Survey
100113506305W600	476262	54.515147	-118.678373	54.496546	-118.645999	978.3	6119	11/16/2016	1	3351	6067.8	Meter Run	2016-11-22	0.0001	Alberta Geological Survey
100113506305W600	476262	54.515147	-118.678373	54.496546	-118.645999	978.3	6119	11/10/2017	1	3351	6067.8	First Stage Separator	2017-11-16	0.0001	Alberta Geological Survey
100113506305W600	476262	54.515147	-118.678373	54.496546	-118.645999	978.3	6119	11/6/2018	1	3351	6067.8	Meter Run	2018-11-19	0	Alberta Geological Survey
100153607913W600	467976	55.882249	-119.878154	55.896496	-119.888946	658.5	3623	10/16/2016	1	2323	3623		2016-11-03	0.0019	Alberta Geological Survey
100153607913W600	467976	55.882249	-119.878154	55.896496	-119.888946	658.5	3623	10/30/2017	1	2323	3623	First Stage Separator	2017-11-09	0.0025	Alberta Geological Survey
100023206322W500	467979	54.486089	-117.329316	54.488215	-117.290081	818.6	4645	1/19/2015	1	2332.8	4645	Meter Run	2015-01-28	0	Alberta Geological Survey
100023206322W500	467979	54.486089	-117.329316	54.488215	-117.290081	818.6	4645	9/28/2017	1	2332.8	4645	Meter Run	2017-10-06	0	Alberta Geological Survey
100081107912W600	468004	55.837967	-119.776297	55.830368	-119.751098	687.2	3828	10/19/2014	1	2309.9	3816.22	Meter Run	2014-12-09	0	Alberta Geological Survey
102113506305W600	476263	54.515147	-118.678218	54.497819	-118.642269	978.3	6192	11/10/2017	1	3322.1	6165.5	First Stage Separator	2017-11-16	0	Alberta Geological Survey
103113506305W600	476264	54.515147	-118.678064	54.497149	-118.644055	978	6050	6/7/2016	1	3294.8	6020.8	Meter Run	2016-06-07	0	Alberta Geological Survey
103113506305W600	476264	54.515147	-118.678064	54.497149	-118.644055	978	6050	6/9/2016	1	3294.8	6020.8	Meter Run	2016-06-09	0	Alberta Geological Survey
103113506305W600	476264	54.515147	-118.678064	54.497149	-118.644055	978	6050	6/10/2016	1	3294.8	6020.8	Meter Run	2016-06-10	0	Alberta Geological Survey
103113506305W600	476264	54.515147	-118.678064	54.497149	-118.644055	978	6050	6/12/2016	1	3294.8	6020.8	Meter Run	2016-06-12	0	Alberta Geological Survey
100092706404W600	475614	54.569231	-118.532054	54.567938	-118.505706	855.3	4428	4/2/2019	1	3695.74	4420	Meter Run	2019-04-06	0.0001	Alberta Geological Survey
100092706404W600	475614	54.569231	-118.532054	54.567938	-118.505706	855.3	4428	5/2/2019	1	3695.74	4420	Meter Run	2019-05-07	0.0001	Alberta Geological Survey
100092706404W600	475614	54.569231	-118.532054	54.567938	-118.505706	855.3	4428	6/20/2019	1	3695.74	4420	Meter Run	2019-06-26	0.0002	Alberta Geological Survey
100092706404W600	475614	54.569231	-118.532054	54.567938	-118.505706	855.3	4428	7/9/2019	1	3695.74	4420	Meter Run	2019-07-15	0.0001	Alberta Geological Survey
