UWI	Licence_no	SH_lat_NAD83	SH_long_NAD83	BH_lat_NAD83	BH_long_NAD83	KB_El_masl28	Total_depth_m	Smpl_date	Smpl_obs_no	Top_MD_m	Base_MD_m	Smpl_point	Date_analyz	H2S_conc	Publisher
102043006404W600	475675	54.543266	-118.559020	54.562556	-118.602057	865.2	6245	8/8/2018	1	3119	6192	Meter Run	2018-08-11	0	Alberta Geological Survey
102043006404W600	475675	54.543266	-118.559020	54.562556	-118.602057	865.2	6245	8/1/2019	1	3119	6192	Meter Run	2019-08-04	0	Alberta Geological Survey
102131906404W600	475680	54.542373	-118.560919	54.557451	-118.602111	862.6	6063	5/10/2016	1	3049	6037	Meter Run	2016-05-20	0	Alberta Geological Survey
102131906404W600	475680	54.542373	-118.560919	54.557451	-118.602111	862.6	6063	6/6/2016	1	3049	6037	Meter Run	2016-06-09	0	Alberta Geological Survey
102131906404W600	475680	54.542373	-118.560919	54.557451	-118.602111	862.6	6063	7/12/2016	1	3049	6037	Meter Run	2016-07-20	0	Alberta Geological Survey
102110506805W600	475101	54.861032	-118.766878	54.861108	-118.726546	685.6	5013	4/18/2016	1	2881	5013	Meter Run	2016-05-04	0.0005	Alberta Geological Survey
100160106405W600	475118	54.508297	-118.584845	54.516022	-118.609959	942.1	4885	2/2/2016	1	3241	4860	Meter Run	2016-02-16	0	Alberta Geological Survey
100160106405W600	475118	54.508297	-118.584845	54.516022	-118.609959	942.1	4885	3/3/2016	1	3241	4860	Meter Run	2016-03-14	0	Alberta Geological Survey
100160106405W600	475118	54.508297	-118.584845	54.516022	-118.609959	942.1	4885	4/5/2016	1	3241	4860	Meter Run	2016-04-21	0	Alberta Geological Survey
100160106405W600	475118	54.508297	-118.584845	54.516022	-118.609959	942.1	4885	5/5/2016	1	3241	4860	Meter Run	2016-05-10	0	Alberta Geological Survey
103113506305W600	476264	54.515147	-118.678064	54.497149	-118.644055	978	6050	11/7/2018	1	3294.8	6020.8	Meter Run	2018-11-12	0.0001	Alberta Geological Survey
